Clube	Pontos Jogos Vitorias Empates Derrotas Gols_feitos Gols_sofridos Saldo Aproveitamento(%)
Manchester_City	100 38 32 4 2 106 27 79 87.7 
Manchester_United	81 38 25 6 7 68 28 40 71.1 
Tottenham	77 38 23 8 7 74 36 38 67.5 
Liverpool	75 38 21 12 5 84 38 46 65.8 
Chelsea	70 38 21 7 10 62 38 24 61.4 
Arsenal	63 38 19 6 13 74 51 23 55.3 
Burnley	54 38 14 12 12 36 39 -3 47.4 
Everton	49 38 13 10 15 44 58 -14 43.0 
Leicester	47 38 12 11 15 56 60 -4 41.2 
Newcastle	44 38 12 8 18 39 47 -8 38.6 
Crystal_Palace	44 38 11 11 16 45 55 -10 38.6 
Bournemouth	44 38 11 11 16 45 61 -16 38.6 
West_Ham	42 38 10 12 16 48 68 -20 36.8 
Watford	41 38 11 8 19 44 64 -20 36.0 
Brighton	40 38 9 13 16 34 54 -20 35.1 
Huddersfield	37 38 9 10 19 28 58 -30 32.5 
Southampton	36 38 7 15 16 37 56 -19 31.6 
Swansea	33 38 8 9 21 28 56 -28 28.9 
Stoke_City	33 38 7 12 19 35 68 -33 28.9 
West_Bromwich	31 38 6 13 19 31 56 -25 27.2
